region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
Cayman_Islands,12,0,1,0,0,11,0,183.0,15.0,8.33
Dominica,12,0,0,0,0,12,0,167.0,0.0,0.0
Equatorial_Guinea,12,0,0,0,1,11,0,9.0,0.0,0.0
Mongolia,12,0,0,0,2,10,0,4.0,0.0,0.0
Curaçao,11,0,1,0,2,8,0,67.0,6.0,9.09
Namibia,11,0,0,0,2,9,0,4.0,0.0,0.0
Syria,10,0,2,0,0,8,0,0.6,0.1,20.0
Greenland,10,0,0,0,2,8,0,176.0,0.0,0.0
Seychelles,10,2,0,0,0,10,0,102.0,0.0,0.0
Benin,9,3,0,0,1,8,0,0.7,0.0,0.0
Grenada,9,0,0,0,0,9,0,80.0,0.0,0.0
Laos,9,1,0,0,0,9,0,1.0,0.0,0.0
Saint_Lucia,9,0,0,0,1,8,0,49.0,0.0,0.0
Eswatini,9,0,0,0,0,9,0,8.0,0.0,0.0
Zimbabwe,8,1,1,0,0,7,0,0.5,0.07,12.5
Guinea-Bissau,8,0,0,0,0,8,0,4.0,0.0,0.0
Libya,8,0,0,0,0,8,0,1.0,0.0,0.0
Mozambique,8,0,0,0,0,8,0,0.3,0.0,0.0
Saint_Kitts_and_Nevis,8,1,0,0,0,8,0,150.0,0.0,0.0
Suriname,8,0,0,0,0,8,0,14.0,0.0,0.0
Angola,7,0,2,0,1,4,0,0.2,0.06,28.57
Sudan,7,1,2,0,1,4,0,0.2,0.05,28.57
Antigua_and_Barbuda,7,0,0,0,0,7,0,71.0,0.0,0.0
Chad,7,2,0,0,0,7,0,0.4,0.0,0.0
Cabo_Verde,6,0,1,0,0,5,0,11.0,2.0,16.67
Mauritania,6,0,1,0,2,3,0,1.0,0.2,16.67
Vatican_City,6,0,0,0,0,6,0,7491.0,0.0,0.0
St_Barth,6,0,0,0,1,5,0,607.0,0.0,0.0
Sint_Maarten,6,0,0,0,0,6,0,140.0,0.0,0.0
Nepal,5,0,0,0,1,4,0,0.2,0.0,0.0
Fiji,5,0,0,0,0,5,0,6.0,0.0,0.0
Montserrat,5,0,0,0,0,5,0,1002.0,0.0,0.0
Somalia,5,2,0,0,1,4,0,0.3,0.0,0.0
Turks_and_Caicos,5,0,0,0,0,5,0,129.0,0.0,0.0
Gambia,4,0,1,0,0,3,0,2.0,0.4,25.0
Nicaragua,4,0,1,0,0,3,0,0.6,0.2,25.0
Bhutan,4,0,0,0,0,4,0,5.0,0.0,0.0
Belize,3,0,0,0,0,3,0,8.0,0.0,0.0
Botswana,3,0,0,0,0,3,0,1.0,0.0,0.0
British_Virgin_Islands,3,1,0,0,0,3,0,99.0,0.0,0.0
CAR,3,0,0,0,0,3,0,0.6,0.0,0.0
Liberia,3,0,0,0,0,3,0,0.6,0.0,0.0
MS_Zaandam,2,0,0,0,0,2,0,0.0,0.0,0.0
Anguilla,2,0,0,0,0,2,0,133.0,0.0,0.0
Burundi,2,2,0,0,0,2,0,0.2,0.0,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0,0.0
St_Vincent_Grenadines,1,0,0,0,1,0,0,9.0,0.0,0.0
Sierra_Leone,1,1,0,0,0,1,0,0.1,0.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,0.0
China,81518,79,3305,5,76052,2161,528,57.0,2.0,4.05
Total,842801,58142,41427,3659,176504,624870,31599,108.1,5.3,4.92
